highland_freecycle,"Highland, Illinois"
HighlandParkIL,"Highland Park, Illinois"
Hinsdale_Freecycle,"Hinsdale, Illinois"
HomerGlenIL,"Homer Glen, Illinois"
HomewoodIL,"Homewood, Illinois"
HoopestonIL,"Hoopeston, Illinois"
Huntley_IL,"Huntley, Illinois"
IroquoisCountyIL,"Watseka, Illinois"
IslandLakeIL,"Island Lake, Illinois"
JacksonvilleIL,"Jacksonville, Illinois"
jasperco_freecycle,"Jasper County, Illinois"
JerseyCntyIL,"Jersey County, Illinois"
JohnsonCountyIL,"Johnson County, Illinois"
JolietILfreecycle,"Joliet, Illinois"
KankakeeIL,"Kankakee, Illinois"
KendallCntyIL,"Kendall County, Illinois"
KewaneeILFreecycle,"Kewanee, Illinois"
LaGrangeIL,"LaGrange, Illinois"
Lake_in_the_Hills_IL,"Lake in the Hills, Illinois"
LakeBluffIL,"Lake Bluff, Illinois"
LakeZurichIL,"Lake Zurich, Illinois"
LaSalleIL,"LaSalle, Illinois"
LawrenceCountyIL,"Lawrence County, Illinois"
LeeCountyIL,"Lee County, Illinois"
Lemont_Freecycle,"Lemont, Illinois"
Libertyville_IL,"Libertyville, Illinois"
LisleILFreecycle,"Lisle, Illinois"
Litchfield_IL,"Litchfield, Illinois"
LivingstonCountyIL,"Livingston County, Illinois"
LockportIL,"Lockport, Illinois"
LoganCntyIL,"Lincoln, Illinois"
LombardIL,"Lombard, Illinois"
MacoupinCountyIL,"Macoupin County, Illinois"
MarengoIL,"Marengo, Illinois"
MarshallCntyIL,"Lacon, Illinois"
MasonCountyIL,"Mason County, Illinois"
MattesonRichtonParkIL,"Richton Park, Illinois"
MattoonIL,"Mattoon, Illinois"
McDonoughCntyIL,"McDonough County, Illinois"
McFreecycle,"McLean County, Illinois"
McHenryFreecycle,"McHenry, Illinois"
MenardCountyIL,"Menard County, Illinois"
MendotaIL,"Mendota, Illinois"
mercercofreecycle,"Aledo, Illinois"
MinookaIL,"Minooka, Illinois"
MokenaIL,"Mokena, Illinois"
MolineIL,"Moline , Illinois"
Monee_Peotone_IL,"Monee, Illinois"
MonroeCountyIL,"Monroe County, Illinois"
MontgomeryIL,"Montgomery, Illinois"
MorrisFreecycle,"Morris, Illinois"
MortonIL,"Morton, Illinois"
MountVernonIL,"Mount Vernon, Illinois"
MtCarroll_IL,"Mt. Carroll , Illinois"
MtGreenwoodIL,"Mt. Greenwood, Illinois"
MundeleinIL,"Mundelein, Illinois"
napervilleilfreecycle,"Naperville, Illinois"
NewLenoxIL,"New Lenox, Illinois"
NilesIL,"Niles, Illinois"
Northbrook_IL,"Northbrook, Illinois"
OakForestIL,"Oak Forest, Illinois"
OakLawnFreecycle,"Oak Lawn, Illinois"
OakParkILFreecycle,"Oak Park, Illinois"
OFallonILFreecycle,"O Fallon, Illinois"
OregonIL,"Oregon, Illinois"
OttawaIL,"Ottawa, Illinois"
Palatine-MtProspectIL,"Palatine, Illinois"
PalosHillsILFreecycle,"Palos Hills, Illinois"
PekinIL,"Pekin, Illinois"
PeoriaFreecycle,"Peoria, Illinois"
PerryCountyIL,"Perry County, Illinois"
PiattCountyIL,"Piatt County, Illinois"
PittsfieldIL,"Pittsfield, Illinois"
PlainfieldIL,"Plainfield, Illinois"
PulaskiCoIL,"Pulaski County, Illinois"
QuincyIL,"Quincy, Illinois"
RandolphCountyIL,"Randolph County, Illinois"
RichlandCountyIL,"Richland County, Illinois"
RiversideIL,"Riverside, Illinois"
rochelleilfreecycle,"Rochelle, Illinois"
rockford_area_freecycle,"Rockford, Illinois"
RollingMeadowsIL,"Rolling Meadows, Illinois"
RomeovilleIL,"Romeoville, Illinois"
RoundLakeIL,"Round Lake, Illinois"
SalemIL,"Salem, Illinois"
SalineCountyFreecycle,"Saline County, Illinois"
Sandwich_Freecycle,"Sandwich, Illinois"
SaukVillageIL,"Sauk Village, Illinois"
SchaumburgIL,"Schaumburg, Illinois"
SchuylerCountyIL,"Schuyler County, Illinois"
